ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
1/2/2018,1/2/2018,,,-0.558775635,-0.555167416,-0.550947641,-0.546118324,-0.54068347,-0.534648875,-0.528021947,-0.520811527,-0.513027733,-0.504681813,-0.365796673,-0.174541309,0.042793208,0.265929134,0.481536736,0.682029761,0.86392002,1.026365481,1.170079376,1.667533253,1.940764749,2.107201154,2.218388568,2.218388568
1/3/2018,1/3/2018,,,-0.577246522,-0.5699867,-0.562753504,-0.55547906,-0.548103529,-0.540574446,-0.532846117,-0.524879054,-0.516639446,-0.508098676,-0.377043251,-0.194984859,0.019252609,0.24405703,0.463374145,0.667619877,0.852283281,1.016205627,1.160177806,1.649424655,1.912830635,2.072377514,2.178849063,2.178849063
1/4/2018,1/4/2018,,,-0.562102376,-0.558373112,-0.554213975,-0.549603165,-0.544523057,-0.538959828,-0.532903125,-0.526345741,-0.519283327,-0.511714111,-0.38326156,-0.199576512,0.014223455,0.236399454,0.452079895,0.652683489,0.834250629,0.995814416,1.138146521,1.625650178,1.890356698,2.051058848,2.158344434,2.158344434
1/5/2018,1/5/2018,,,-0.575879036,-0.568235707,-0.560753288,-0.553350584,-0.545955481,-0.53850422,-0.530940715,-0.523215928,-0.51528728,-0.50711811,-0.383109082,-0.208852638,-0.000915599,0.219308433,0.435407798,0.637383795,0.820400252,0.983077159,1.126065242,1.612250191,1.873982924,2.032494858,2.138272663,2.138272663
1/6/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2018,1/8/2018,,,-0.555924773,-0.55269888,-0.549200386,-0.545384251,-0.541211808,-0.536650225,-0.531672004,-0.526254516,-0.520379564,-0.514032988,-0.400007288,-0.225978292,-0.016510726,0.204810891,0.42132229,0.623263514,0.806056154,0.968486523,1.111285593,1.597542976,1.859868626,2.018842255,2.124940316,2.124940316
1/9/2018,1/9/2018,,,-0.543988131,-0.541690273,-0.539027315,-0.535960532,-0.532457202,-0.528490083,-0.524036937,-0.519080077,-0.513605954,-0.50760477,-0.394666511,-0.218885598,-0.007025858,0.216468952,0.434683141,0.637856207,0.821494259,0.984481813,1.127635103,1.61434996,1.876625355,2.035535427,2.141587994,2.141587994
1/10/2018,1/10/2018,,,-0.534738961,-0.533410179,-0.531498745,-0.528989436,-0.525871025,-0.52213591,-0.51777977,-0.512801252,-0.507201671,-0.500984745,-0.381892512,-0.199426776,0.016870685,0.242822581,0.462344358,0.66633832,0.850693042,1.014461305,1.158501312,1.650219567,1.91640506,2.077887797,2.185681298,2.185681298
1/11/2018,1/11/2018,,,-0.512533672,-0.511084676,-0.508841652,-0.505818625,-0.502030949,-0.49749514,-0.492228717,-0.486250067,-0.479578311,-0.472233183,-0.339171629,-0.14793086,0.070710426,0.294696085,0.510198403,0.709677257,0.889874855,1.050201864,1.191584022,1.678077639,1.943933369,2.105678904,2.213708624,2.213708624
1/12/2018,1/12/2018,,,-0.494254711,-0.493493752,-0.491975426,-0.489703481,-0.486684185,-0.482926057,-0.478439616,-0.473237151,-0.467332511,-0.460740903,-0.33476845,-0.146589229,0.071520183,0.295714705,0.511041613,0.709494184,0.887773582,1.045459312,1.183713013,1.65357796,1.907228206,2.061045554,2.163717717,2.163717717
1/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2018,1/15/2018,,,-0.509308902,-0.507528962,-0.505119275,-0.50207255,-0.498384788,-0.49405497,-0.489084757,-0.483478219,-0.477241579,-0.47038298,-0.344326982,-0.157910514,0.059106344,0.283396093,0.499821438,0.700027544,0.880400756,1.040291098,1.180713185,1.659162613,1.917894136,2.074837848,2.17960075,2.17960075
1/16/2018,1/16/2018,,,-0.534662911,-0.530554471,-0.52605832,-0.521148472,-0.515803536,-0.510006305,-0.503743389,-0.497004861,-0.48978394,-0.482076688,-0.353040729,-0.169936065,0.042463088,0.262488291,0.475385042,0.672753648,0.850833877,1.00883683,1.147671958,1.620802234,1.876534509,2.031618079,2.13513332,2.13513332
