ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
1/2/2019,1/2/2019,,,-0.395637136,-0.385135598,-0.374306211,-0.363165563,-0.35172968,-0.340014046,-0.328033616,-0.315802834,-0.303335648,-0.290645525,-0.125280647,0.052939603,0.232453472,0.406191185,0.570105159,0.72214813,0.861567787,0.988424177,1.10326314,1.528383863,1.784436921,1.947259267,2.057689713,2.057689713
1/3/2019,1/3/2019,,,-0.38218551,-0.367971408,-0.353633037,-0.339178259,-0.324614709,-0.309949795,-0.295190707,-0.280344422,-0.265417703,-0.250417112,-0.066776406,0.117862033,0.29749942,0.468381127,0.628363767,0.776434094,0.912349528,1.036374026,1.14908732,1.571455992,1.830387652,1.99660909,2.109794889,2.109794889
1/4/2019,1/4/2019,,,-0.385102568,-0.372821937,-0.360245895,-0.347390745,-0.334272217,-0.320905487,-0.307305194,-0.293485458,-0.279459892,-0.265241623,-0.083766067,0.106905212,0.295856828,0.476614068,0.645645827,0.801336105,0.943282907,1.071824913,1.187725887,1.613449818,1.867838795,2.029090388,2.138332702,2.138332702
1/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2019,1/7/2019,,,-0.424121489,-0.40716046,-0.390203488,-0.373253368,-0.356312834,-0.339384556,-0.322471143,-0.305575141,-0.288699034,-0.271845247,-0.07214221,0.120659342,0.304182173,0.476934357,0.638123691,0.787489965,0.925161852,1.051539742,1.167202933,1.609992173,1.890501914,2.074288136,2.200713003,2.200713003
1/8/2019,1/8/2019,,,-0.434807685,-0.41535109,-0.396026744,-0.376831978,-0.357764271,-0.33882124,-0.320000634,-0.30130033,-0.282718322,-0.264252718,-0.051187917,0.14741473,0.332632312,0.505026453,0.664985451,0.812895125,0.949210517,1.074473192,1.189301166,1.631094635,1.912687074,2.0975898,2.224833369,2.224833369
1/9/2019,1/9/2019,,,-0.41786646,-0.399010193,-0.380318277,-0.361786299,-0.343410045,-0.325185501,-0.307108833,-0.289176389,-0.271384686,-0.253730407,-0.051583746,0.135114889,0.308649347,0.470283852,0.620764976,0.760609865,0.890262158,1.010168224,1.120807243,1.55386693,1.836515536,2.024734497,2.155175519,2.155175519
1/10/2019,1/10/2019,,,-0.396740233,-0.377183598,-0.357929409,-0.338966076,-0.320282483,-0.301867973,-0.283712329,-0.26580576,-0.248138882,-0.230702707,-0.036667591,0.136301564,0.294872699,0.442740047,0.581843767,0.713137156,0.837057592,0.953806093,1.063505388,1.512308674,1.82167722,2.033791065,2.182849269,2.182849269
1/11/2019,1/11/2019,,,-0.401288211,-0.383009618,-0.364974813,-0.34717441,-0.329599424,-0.312241257,-0.295091678,-0.278142816,-0.26138714,-0.24481745,-0.058264905,0.111093825,0.268358236,0.416222199,0.55600055,0.688266213,0.813234051,0.930982595,1.041574057,1.492968852,1.802965403,2.015066509,2.163978441,2.163978441
1/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2019,1/14/2019,,,-0.401640313,-0.386563186,-0.371509001,-0.356478694,-0.341473192,-0.326493422,-0.311540303,-0.296614749,-0.281717669,-0.266849961,-0.091043772,0.079001201,0.242132309,0.39749535,0.544526297,0.682920766,0.81259366,0.933636553,1.046277166,1.496829823,1.800840639,2.008368893,2.154451734,2.154451734
1/15/2019,1/15/2019,,,-0.403133204,-0.388689352,-0.374249098,-0.359813831,-0.345384931,-0.330963758,-0.31655166,-0.302149967,-0.287759995,-0.273383042,-0.10232291,0.064709068,0.226120555,0.380723934,0.527701717,0.666556535,0.797056268,0.919180574,1.033072166,1.490659692,1.800970466,2.013384864,2.163131234,2.163131234
1/16/2019,1/16/2019,,,-0.408909316,-0.396145832,-0.383279812,-0.370316661,-0.357261644,-0.344119885,-0.330896376,-0.317595974,-0.304223408,-0.29078328,-0.125746178,0.042048724,0.208000098,0.36896761,0.522904563,0.668573627,0.805328216,0.932945492,1.05149973,1.521576183,1.833673125,2.044293909,2.191605778,2.191605778
1/17/2019,1/17/2019,,,-0.407841187,-0.394993572,-0.382056973,-0.369036216,-0.355936008,-0.342760935,-0.329515466,-0.316203956,-0.302830645,-0.289399665,-0.125093109,0.04122352,0.205360789,0.36443561,0.516554192,0.660562902,0.795853977,0.922215191,1.039714511,1.506881436,1.818291419,2.0289873,2.176557718,2.176557718
1/18/2019,1/18/2019,,,-0.408755721,-0.396161506,-0.383463684,-0.370667622,-0.35777855,-0.344801561,-0.331741614,-0.318603539,-0.305392037,-0.292111686,-0.128884586,0.037310991,0.201876285,0.361660428,0.514599151,0.659434448,0.795498415,0.922547721,1.040637783,1.509433234,1.821122261,2.031629851,2.178919424,2.178919424
1/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2019,1/21/2019,,,-0.413864398,-0.399478788,-0.385091291,-0.370702935,-0.356314766,-0.341927849,-0.327543264,-0.313162105,-0.298785478,-0.284414497,-0.112814793,0.055877258,0.219896355,0.377787207,0.528455018,0.671157553,0.805467058,0.931219409,1.048460787,1.517554468,1.832115447,2.045098525,2.194097353,2.194097353
1/22/2019,1/22/2019,,,-0.417124718,-0.404005445,-0.390812914,-0.377551273,-0.364224578,-0.350836787,-0.337391765,-0.323893287,-0.310345036,-0.296750608,-0.131210078,0.035430047,0.199408251,0.358093153,0.509732617,0.653247607,0.788065426,0.913986664,1.03108045,1.496558963,1.806504663,2.015877419,2.162321947,2.162321947
1/23/2019,1/23/2019,,,-0.414522047,-0.400633261,-0.386717136,-0.372776075,-0.358812438,-0.344828548,-0.330826685,-0.316809092,-0.302777969,-0.288735477,-0.120071396,0.046761992,0.209295165,0.365729478,0.514833583,0.655840092,0.788350042,0.912248779,1.027634472,1.488660185,1.798114834,2.008252192,2.155646207,2.155646207
1/24/2019,1/24/2019,,,-0.414850266,-0.401135479,-0.387422605,-0.373712517,-0.360006105,-0.34630427,-0.332607924,-0.318917991,-0.3052354,-0.291561088,-0.128459883,0.031697319,0.187432545,0.337517673,0.481016153,0.617279595,0.745920139,0.866771815,0.979848911,1.437067074,1.748839021,1.962528611,2.113148025,2.113148025
1/25/2019,1/25/2019,,,-0.395777907,-0.382765629,-0.36979556,-0.356865951,-0.343975169,-0.331121689,-0.318304092,-0.305521057,-0.292771362,-0.280053873,-0.129652275,0.017192853,0.160556489,0.300020339,0.434982354,0.564835983,0.689065281,0.80728716,0.919261701,1.385464536,1.715147274,1.94584321,2.110218084,2.110218084
1/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2019,1/28/2019,,,-0.364080411,-0.352779781,-0.341477726,-0.330171961,-0.318860418,-0.307541225,-0.296212706,-0.284873367,-0.273521884,-0.262157101,-0.124509638,0.015447437,0.156633855,0.297348201,0.435808171,0.570427897,0.699937058,0.823408898,0.940239304,1.420279297,1.74894389,1.972381446,2.128581052,2.128581052
